ind,open,close,low,high,volume,ma5,kf,macd,pjsp5,pjsp5bl,lrkf
136,19058.95,19085.83,19021.81,19111.37,696.318178,19123.638,A,-50.0303023,19195.678,0.005755474,AB
137,19085.82,19299.26,19056.28,19313.33,1140.240899,19145.936,B,-35.5010606,19166.732,-0.006866999,BC
138,19300.86,19259.25,19230.16,19339.4,1126.949624,19174.988,C,-28.22428403,19160.148,-0.005145683,CB
139,19260.58,19125.16,19057.97,19283.78,1362.808813,19165.69,B,-31.81430972,19171.444,0.002420058,BA
140,19125.36,19086.13,19033.52,19128.82,635.2438574,19171.126,A,-35.88822309,19172.244,0.004511863,AB
141,19086.14,19208.59,19084.7,19208.59,774.7680914,19195.678,B,-29.66415556,19151.928,-0.002949826,BB
142,19208.66,19154.53,19103.3,19213.06,715.1720708,19166.732,B,-28.50927243,19144.132,-0.000542848,BB
143,19157.49,19226.33,19140.84,19245.08,853.3936837,19160.148,B,-22.49512718,19135.16,-0.004741935,BB
144,19226.34,19181.64,19123.45,19259.99,784.0023187,19171.444,B,-21.13341072,19142.848,-0.002022351,BB
145,19181.64,19090.13,19055,19212,875.4503148,19172.244,B,-25.69890562,19164.562,0.003898978,BA
146,19090.12,19107.01,19052.05,19143.77,1162.100366,19151.928,A,-26.7643614,19172.934,0.003450252,AA
147,19107.01,19115.55,19035,19144.48,839.1564712,19144.132,A,-26.05144544,19177.402,0.00323569,AB
148,19115.26,19181.47,19063.5,19196.16,1090.085687,19135.16,B,-20.5400187,19187.848,0.000332508,BB
149,19181.47,19220.08,19089.47,19225,1040.371702,19142.848,B,-14.00594199,19178.596,-0.002158368,BC
150,19219.72,19198.7,19175.51,19300,1287.211875,19164.562,C,-10.96991448,19180.598,-0.000942876,CB
151,19198.23,19148.87,19114.55,19232.96,865.3401488,19172.934,B,-12.07615989,19189.374,0.002115216,BA
152,19148.88,19137.89,19111.56,19167.61,441.8557194,19177.402,A,-13.21387026,19219.77,0.004278424,AB
153,19137.89,19233.7,19137.89,19233.7,807.45518,19187.848,B,-7.466456193,19227.446,-0.000325158,BB
154,19233.69,19173.82,19161.55,19233.7,437.0875443,19178.596,B,-7.62362298,19271.98,0.005119481,BB
155,19173.83,19208.71,19126.55,19216,421.6579635,19180.598,B,-5.408051931,19322.156,0.005905967,BB
156,19208.72,19192.75,19151.2,19220,391.3817282,19189.374,B,-5.05424083,19375.44,0.009518698,BB
157,19193.44,19289.87,19185.92,19298,387.8824242,19219.77,B,1.342128902,19413.144,0.006390608,BC
158,19289.84,19272.08,19231.76,19350,817.3444923,19227.446,C,3.854202317,19394.018,0.006327184,CB
159,19272.08,19396.49,19248.24,19398,973.6544129,19271.98,B,12.8660743,19341.246,-0.002848144,BC
160,19396.54,19459.59,19321.4,19478.76,1526.897049,19322.156,C,21.53749153,19286.478,-0.008895974,CC
161,19459.59,19459.17,19447.59,19570,2434.492062,19375.44,C,25.43816199,19234.328,-0.011554552,CC
162,19459.18,19478.39,19412.03,19506.63,965.0769246,19413.144,C,27.33954141,19165.586,-0.016059027,CB
163,19476.56,19176.45,19158.92,19493.35,1771.739567,19394.018,B,7.330137227,19167.206,-0.00048205,BA
164,19176.45,19132.63,19050,19249.65,1789.92406,19341.246,A,-8.907687082,19202.706,0.003662643,AA
165,19133.17,19185.75,19100.01,19214.12,968.8249028,19286.478,A,-15.72355786,19223.542,0.001969795,AA
166,19184.81,19198.42,19146.23,19227.66,608.3610903,19234.328,A,-18.82221883,19241.634,0.002250914,AB
167,19197.54,19134.68,19104.06,19222.38,714.1412048,19165.586,B,-24.26197581,19283.936,0.007800287,BB
